,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
8868,02322-38-011-000,260,1112,1836,826,918,1995,AVG,C,1,2,Att,2,,,3,4,TWO-STORY,343000,0,343000,357896,2,2011,Q,I
8869,02323-03-022-000,247,1112,1106,0,0,1952,AVG,C,1,1,Det,4,,,3,2,ONE-STORY,252000,2000,250000,250679,5,2012,Q,I
8870,02323-03-022-000,247,1112,1106,0,0,1952,AVG,C,1,1,Det,4,,,3,2,ONE-STORY,115000,0,115000,115000,12,2011,U,I
8871,02323-03-022-000,247,1112,1106,0,0,1952,AVG,C,1,1,Det,4,,,3,2,ONE-STORY,115000,0,115000,115000,11,2011,U,I
8872,02323-03-027-000,247,1114,560,280,560,1952,AVG,C,1,1,Det,1,,,1,1,END UNIT,64900,0,64900,64900,12,2010,U,I
8873,02323-03-028-000,247,1114,560,0,560,1952,AVG,C,1,1,Det,1,,,1,1,END UNIT,78900,0,78900,78900,11,2010,U,I
8874,02323-06-026-000,260,1112,1666,791,833,1996,AVG,C,1,2,Att,2,,,2,4,TWO-STORY,325000,2500,322500,326877,1,2012,Q,I
8875,02323-06-030-000,260,1112,1836,850,918,1996,AVG,C,1,2,Att,2,,,3,4,TWO-STORY,340000,0,340000,353843,3,2011,Q,I
8876,02323-06-053-000,260,1112,1836,800,918,1997,AVG,C,1,2,Att,2,,,3,4,TWO-STORY,369500,0,369500,390562,9,2010,Q,I
8877,02323-06-060-000,260,1112,1661,955,1005,1997,AVG,C,1,2,Att,2,,,2,3,TWO-STORY,334900,1500,333400,347879,2,2011,Q,I
8878,02323-06-061-000,260,1112,1666,0,833,1997,AVG,C,1,2,Att,2,,,2,3,TWO-STORY,326800,530,326270,335126,8,2011,Q,I
8879,02323-06-067-000,260,1112,1661,0,1005,1997,AVG,C,1,2,Att,2,,,2,3,TWO-STORY,299000,7475,291525,297855,10,2011,Q,I
8880,02323-06-082-000,260,1112,1836,0,918,1997,Good,C,1,2,Att,2,,,2,3,TWO-STORY,355000,4928,350072,370976,8,2010,Q,I
8881,02323-09-018-000,247,1112,1209,0,0,1952,Good,C,1,1,Att,1,,,3,1,ONE-STORY,135100,0,135100,135100,9,2011,U,I
8882,02323-09-019-000,247,1112,700,0,0,1952,Good,C,1,1,None,0,,,2,1,ONE-STORY,180100,0,180100,180100,3,2012,U,I
